t,shoulder_pan,shoulder_lift,elbow,wrist_1,wrist_2,wrist_3
0.0,-1.593500018119812,-2.275599956512451,-1.1836421489715576,-0.3206874430179596,1.5707000494003296,3.1414999961853027
0.002,-1.593500018119812,-2.2661752700805664,-1.1804871559143066,-0.3206874430179596,1.5707000494003296,3.1414999961853027
0.004,-1.593500018119812,-2.2661752700805664,-1.1752538681030273,-0.3113689422607422,1.5707000494003296,3.1414999961853027
0.006,-1.593500018119812,-2.2661752700805664,-1.166183352470398,-0.30710792541503906,1.5707000494003296,3.1414999961853027
0.008,-1.593500018119812,-2.261618137359619,-1.164002537727356,-0.29768311977386475,1.5707000494003296,3.1414999961853027
0.01,-1.593500018119812,-2.257051944732666,-1.1609838008880615,-0.2909446358680725,1.5707000494003296,3.1414999961853027
0.012,-1.593500018119812,-2.257051944732666,-1.1515589952468872,-0.28981173038482666,1.5707000494003296,3.1414999961853027
0.014,-1.593500018119812,-2.257051944732666,-1.1459534168243408,-0.28038692474365234,1.5707000494003296,3.1414999961853027
0.016,-1.593500018119812,-2.257051944732666,-1.139841914176941,-0.28038692474365234,1.5707000494003296,3.1414999961853027
0.018000000000000002,-1.593500018119812,-2.257051944732666,-1.139841914176941,-0.28038692474365234,1.5707000494003296,3.1414999961853027
0.02,-1.593500018119812,-2.257051944732666,-1.1364678144454956,-0.270962119102478,1.5707000494003296,3.1414999961853027
0.022,-1.593500018119812,-2.257051944732666,-1.1270430088043213,-0.2615373134613037,1.5707000494003296,3.1414999961853027
0.024,-1.593500018119812,-2.257051944732666,-1.117618203163147,-0.2601635158061981,1.5707000494003296,3.1414999961853027
0.026000000000000002,-1.593500018119812,-2.253983736038208,-1.117618203163147,-0.2507387101650238,1.5707000494003296,3.1414999961853027
0.028,-1.593500018119812,-2.2488207817077637,-1.1081933975219727,-0.24544256925582886,1.5707000494003296,3.1414999961853027
0.03,-1.593500018119812,-2.246525526046753,-1.1040301322937012,-0.23601776361465454,1.5707000494003296,3.1414999961853027
0.032,-1.593500018119812,-2.245473623275757,-1.0946053266525269,-0.22699296474456787,1.5707000494003296,3.1414999961853027
0.034,-1.593500018119812,-2.245473623275757,-1.0869687795639038,-0.21756815910339355,1.5707000494003296,3.1414999961853027
0.036000000000000004,-1.593500018119812,-2.245473623275757,-1.0775439739227295,-0.2145725041627884,1.5707000494003296,3.1414999961853027
0.038,-1.593500018119812,-2.236048936843872,-1.0681191682815552,-0.20514769852161407,1.5707000494003296,3.1414999961853027
0.04,-1.593500018119812,-2.236048936843872,-1.0652146339416504,-0.19572289288043976,1.5707000494003296,3.1414999961853027
0.042,-1.593500018119812,-2.2331957817077637,-1.064267635345459,-0.1886812150478363,1.5707000494003296,3.1414999961853027
0.044,-1.593500018119812,-2.228041887283325,-1.0634626150131226,-0.179256409406662,1.5707000494003296,3.1414999961853027
0.046,-1.593500018119812,-2.228041887283325,-1.0540378093719482,-0.17010363936424255,1.5707000494003296,3.1414999961853027
0.048,-1.593500018119812,-2.221226930618286,-1.051252007484436,-0.16067883372306824,1.5707000494003296,3.1414999961853027
0.05,-1.593500018119812,-2.2118022441864014,-1.051252007484436,-0.16051062941551208,1.5707000494003296,3.1414999961853027
0.052000000000000005,-1.593500018119812,-2.2103004455566406,-1.042476773262024,-0.1590496003627777,1.5707000494003296,3.1414999961853027
0.054,-1.593500018119812,-2.206716537475586,-1.03591787815094,-0.1590496003627777,1.5707000494003296,3.1414999961853027
0.056,-1.593500018119812,-2.206716537475586,-1.030012607574463,-0.15218931436538696,1.5707000494003296,3.1414999961853027
0.058,-1.593500018119812,-2.200209379196167,-1.0205878019332886,-0.14311140775680542,1.5707000494003296,3.1414999961853027
0.06,-1.593500018119812,-2.1917669773101807,-1.0111629962921143,-0.1373167634010315,1.5707000494003296,3.1414999961853027
0.062,-1.593500018119812,-2.184725522994995,-1.00173819065094,-0.13630206882953644,1.5707000494003296,3.1414999961853027
0.064,-1.593500018119812,-2.1776912212371826,-0.9923133850097656,-0.1293165385723114,1.5707000494003296,3.1414999961853027
0.066,-1.593500018119812,-2.168266534805298,-0.9919982552528381,-0.12700118124485016,1.5707000494003296,3.1414999961853027
0.068,-1.593500018119812,-2.158841848373413,-0.9919982552528381,-0.12165337800979614,1.5707000494003296,3.1414999961853027
0.07,-1.593500018119812,-2.1494171619415283,-0.9919982552528381,-0.1143449991941452,1.5707000494003296,3.1414999961853027
0.07200000000000001,-1.593500018119812,-2.1494171619415283,-0.9919982552528381,-0.1143449991941452,1.5707000494003296,3.1414999961853027
0.074,-1.593500018119812,-2.1411051750183105,-0.9899646639823914,-0.10492020100355148,1.5707000494003296,3.1414999961853027
0.076,-1.593500018119812,-2.13781476020813,-0.9899646639823914,-0.10492020100355148,1.5707000494003296,3.1414999961853027
0.078,-1.593500018119812,-2.133159875869751,-0.988770067691803,-0.09650249034166336,1.5707000494003296,3.1414999961853027
0.08,-1.593500018119812,-2.1246914863586426,-0.9827863574028015,-0.09556606411933899,1.5707000494003296,3.1414999961853027
0.082,-1.593500018119812,-2.1246914863586426,-0.9827863574028015,-0.09556606411933899,1.5707000494003296,3.1414999961853027
0.084,-1.593500018119812,-2.1190834045410156,-0.9827863574028015,-0.09556606411933899,1.5707000494003296,3.1414999961853027
0.08600000000000001,-1.593500018119812,-2.117504358291626,-0.9733615517616272,-0.09556606411933899,1.5707000494003296,3.1414999961853027
0.088,-1.593500018119812,-2.1106674671173096,-0.9693982005119324,-0.09273196756839752,1.5707000494003296,3.1414999961853027
0.09,-1.593500018119812,-2.104048252105713,-0.9627323150634766,-0.09273196756839752,1.5707000494003296,3.1414999961853027
0.092,-1.593500018119812,-2.101158618927002,-0.9533075094223022,-0.09044738113880157,1.5707000494003296,3.1414999961853027
0.094,-1.593500018119812,-2.091733932495117,-0.9438827037811279,-0.09044738113880157,1.5707000494003296,3.1414999961853027
0.096,-1.593500018119812,-2.0878281593322754,-0.9438827037811279,-0.08102258294820786,1.5707000494003296,3.1414999961853027
0.098,-1.593500018119812,-2.0861215591430664,-0.9355657696723938,-0.08102258294820786,1.5707000494003296,3.1414999961853027
0.1,-1.593500018119812,-2.079526424407959,-0.9274017810821533,-0.07795978337526321,1.5707000494003296,3.1414999961853027
0.10200000000000001,-1.593500018119812,-2.077883243560791,-0.9250609278678894,-0.07208865880966187,1.5707000494003296,3.1414999961853027
0.10400000000000001,-1.593500018119812,-2.077883243560791,-0.9250609278678894,-0.07208865880966187,1.5707000494003296,3.1414999961853027
0.106,-1.593500018119812,-2.0684585571289062,-0.9250609278678894,-0.06733417510986328,1.5707000494003296,3.1414999961853027
0.108,-1.593500018119812,-2.060029983520508,-0.9169203639030457,-0.060713715851306915,1.5707000494003296,3.1414999961853027
0.11,-1.593500018119812,-2.050605297088623,-0.9169203639030457,-0.05354035273194313,1.5707000494003296,3.1414999961853027
0.112,-1.593500018119812,-2.0425455570220947,-0.9074955582618713,-0.05354035273194313,1.5707000494003296,3.1414999961853027
0.114,-1.593500018119812,-2.0370593070983887,-0.9002492427825928,-0.05186736583709717,1.5707000494003296,3.1414999961853027
0.116,-1.593500018119812,-2.035346269607544,-0.9002492427825928,-0.049696825444698334,1.5707000494003296,3.1414999961853027
0.11800000000000001,-1.593500018119812,-2.035346269607544,-0.893546998500824,-0.049696825444698334,1.5707000494003296,3.1414999961853027
0.12,-1.593500018119812,-2.0280330181121826,-0.893243670463562,-0.04433760419487953,1.5707000494003296,3.1414999961853027
0.122,-1.593500018119812,-2.0205769538879395,-0.893243670463562,-0.034912802278995514,1.5707000494003296,3.1414999961853027
0.124,-1.593500018119812,-2.0205769538879395,-0.8855426907539368,-0.029619824141263962,1.5707000494003296,3.1414999961853027
0.126,-1.593500018119812,-2.0205769538879395,-0.8761178851127625,-0.029619824141263962,1.5707000494003296,3.1414999961853027
0.128,-1.593500018119812,-2.019453525543213,-0.8666930794715881,-0.029619824141263962,1.5707000494003296,3.1414999961853027
0.13,-1.593500018119812,-2.012348175048828,-0.8666930794715881,-0.029619824141263962,1.5707000494003296,3.1414999961853027
0.132,-1.593500018119812,-2.0050272941589355,-0.8572682738304138,-0.020195024088025093,1.5707000494003296,3.1414999961853027
0.134,-1.593500018119812,-1.9989328384399414,-0.8540884852409363,-0.020195024088025093,1.5707000494003296,3.1414999961853027
0.136,-1.593500018119812,-1.9984619617462158,-0.8531001806259155,-0.020145835354924202,1.5707000494003296,3.1414999961853027
0.138,-1.593500018119812,-1.9890371561050415,-0.8509407043457031,-0.012766385450959206,1.5707000494003296,3.1414999961853027
0.14,-1.593500018119812,-1.9806797504425049,-0.8415158987045288,-0.010940891690552235,1.5707000494003296,3.1414999961853027
0.14200000000000002,-1.593500018119812,-1.9737493991851807,-0.840486466884613,-0.010940891690552235,1.5707000494003296,3.1414999961853027
0.14400000000000002,-1.593500018119812,-1.9647499322891235,-0.8310616612434387,-0.005598763003945351,1.5707000494003296,3.1414999961853027
0.146,-1.593500018119812,-1.963972568511963,-0.8309860229492188,-0.005598763003945351,1.5707000494003296,3.1414999961853027
0.148,-1.593500018119812,-1.963972568511963,-0.825319766998291,-0.005598763003945351,1.5707000494003296,3.1414999961853027
0.15,-1.593500018119812,-1.963972568511963,-0.8206967711448669,-0.005598763003945351,1.5707000494003296,3.1414999961853027
0.152,-1.593500018119812,-1.963972568511963,-0.8160714507102966,-0.005598763003945351,1.5707000494003296,3.1414999961853027
0.154,-1.593500018119812,-1.963972568511963,-0.8066466450691223,-0.0029771619010716677,1.5707000494003296,3.1414999961853027
0.156,-1.593500018119812,-1.9606499671936035,-0.8023580312728882,-0.0029771619010716677,1.5707000494003296,3.1414999961853027
0.158,-1.593500018119812,-1.9600739479064941,-0.7929332256317139,-0.0029771619010716677,1.5707000494003296,3.1414999961853027
0.16,-1.593500018119812,-1.9600739479064941,-0.7870882749557495,-0.0029771619010716677,1.5707000494003296,3.1414999961853027
0.162,-1.593500018119812,-1.953306794166565,-0.7776634693145752,0.006437784060835838,1.5707000494003296,3.1414999961853027
0.164,-1.593500018119812,-1.9462519884109497,-0.7682386636734009,0.008198119699954987,1.5707000494003296,3.1414999961853027
0.166,-1.593500018119812,-1.9448647499084473,-0.7588138580322266,0.01588406413793564,1.5707000494003296,3.1414999961853027
0.168,-1.593500018119812,-1.9448647499084473,-0.7493890523910522,0.021362528204917908,1.5707000494003296,3.1414999961853027
0.17,-1.593500018119812,-1.9448647499084473,-0.7493890523910522,0.02545834891498089,1.5707000494003296,3.1414999961853027
