t,tip_x,tip_y,tip_z,target_x,target_y,target_z
0.0,21.214916597879746,-0.26595803692639364,0.006350025397379838,21.0,2.0,2.3
0.002,21.214901541594184,-0.2658267864423687,0.006350008303967614,21.0,2.0,2.3
0.004,21.214884071927848,-0.26569771015137233,0.006350019508505953,21.0,2.0,2.3
0.006,21.214866158552812,-0.265566181709694,0.006350026601895769,21.0,2.0,2.3
0.008,21.214849661328227,-0.2654353155844775,0.006350043185273074,21.0,2.0,2.3
0.01,21.214832685608865,-0.2653067833765931,0.006350046352948386,21.0,2.0,2.3
0.012,21.214815250200193,-0.2651794504002935,0.006350054954399853,21.0,2.0,2.3
0.014,21.214797360506168,-0.2650513760597835,0.006350067980636987,21.0,2.0,2.3
0.016,21.214779004995915,-0.26492283096784863,0.00634998747278615,21.0,2.0,2.3
0.018000000000000002,21.2147602176903,-0.26479678263357853,0.006349978134434326,21.0,2.0,2.3
0.02,21.214741021353696,-0.2646727705956734,0.006349968543254564,21.0,2.0,2.3
0.022,21.21472140153567,-0.2645488431307367,0.006349977008930965,21.0,2.0,2.3
0.024,21.21470138521237,-0.2644275783907364,0.006349946686636171,21.0,2.0,2.3
0.026000000000000002,21.21467908056963,-0.2643080510850402,0.006349938608528827,21.0,2.0,2.3
0.028,21.214658278775552,-0.2641871835661821,0.006349928131931021,21.0,2.0,2.3
0.03,21.21463718676434,-0.26407057171319587,0.0063500085339920605,21.0,2.0,2.3
0.032,21.214617596685372,-0.26395261349618987,0.006350017906472849,21.0,2.0,2.3
0.034,21.21459583538881,-0.2638389317109403,0.006350023075147026,21.0,2.0,2.3
0.036000000000000004,21.21457569452908,-0.2637261344108906,0.006350035813039024,21.0,2.0,2.3
0.038,21.21455332912281,-0.2636155896991187,0.00635004502082637,21.0,2.0,2.3
0.04,21.21453263780253,-0.2635071104547899,0.006350047356912403,21.0,2.0,2.3
0.042,21.21451166663486,-0.26339847826043183,0.006350097938735755,21.0,2.0,2.3
0.044,21.214490654561676,-0.2632956145513594,0.006350069497029195,21.0,2.0,2.3
0.046,21.214469376968523,-0.2631940708896168,0.006350002882380875,21.0,2.0,2.3
0.048,21.214447900413976,-0.26309398008916957,0.006350001376952919,21.0,2.0,2.3
0.05,21.214427971524227,-0.2629903202030721,0.006350013233801841,21.0,2.0,2.3
0.052000000000000005,21.214411732113483,-0.2628858001277785,0.006350019636033166,21.0,2.0,2.3
0.054,21.21439341181784,-0.26278464329308043,0.006350024259333226,21.0,2.0,2.3
0.056,21.214353855757434,-0.2627060838038098,0.006350003422243461,21.0,2.0,2.3
0.058,21.21425097698184,-0.26269722532415873,0.006349910874292403,21.0,2.0,2.3
0.06,21.214083060450903,-0.26276054114757397,0.006349586540456598,21.0,2.0,2.3
0.062,21.213873083041975,-0.2628709070567622,0.006349888867010378,21.0,2.0,2.3
0.064,21.213634352372672,-0.2630145802113424,0.006349685531537741,21.0,2.0,2.3
0.066,21.21337257758788,-0.26318239046566216,0.006350196605389463,21.0,2.0,2.3
0.068,21.213087789938204,-0.26337406840387906,0.006349921782444828,21.0,2.0,2.3
0.07,21.212772503971728,-0.2636009760264499,0.0063498971254675515,21.0,2.0,2.3
0.07200000000000001,21.212348425362872,-0.26393390445488135,0.0063488680199108695,21.0,2.0,2.3
0.074,21.211519846855104,-0.2646250115837726,0.006349886040846975,21.0,2.0,2.3
0.076,21.210476227355677,-0.2658292423257568,0.006348856416272119,21.0,2.0,2.3
0.078,21.209396443167044,-0.2676627839801075,0.006348233756065291,21.0,2.0,2.3
0.08,21.207390059802897,-0.27020343478705056,0.006346001789584122,21.0,2.0,2.3
0.082,21.203495644723645,-0.2722854570994896,0.0064968276688305735,21.0,2.0,2.3
