t,shoulder_pan,shoulder_lift,elbow,wrist_1,wrist_2,wrist_3
0,-1.5934337,-2.2755926,-1.1913617,-0.32406923,1.7068826,3.0234644
0.007853508,-1.5934356,-2.2755926,-1.1913484,-0.32411513,1.7069225,3.0234852
0.015839338,-1.5934738,-2.2755926,-1.1913617,-0.32408556,1.7069689,3.0234613
0.023833036,-1.5934814,-2.2755687,-1.1913573,-0.32406613,1.7069732,3.023481
0.031883955,-1.5934385,-2.2755554,-1.1913543,-0.32408687,1.7069645,3.0234234
0.03990102,-1.5934356,-2.275552,-1.1913171,-0.3240913,1.7069433,3.0234363
0.04785514,-1.5934471,-2.2755225,-1.1913409,-0.32406303,1.7069732,3.0234191
0.0558424,-1.5934471,-2.2755506,-1.1913246,-0.3240913,1.7069271,3.0234396
0.063905716,-1.5934566,-2.2755196,-1.1913617,-0.32411072,1.7069314,3.0233996
0.071840525,-1.5935234,-2.2755477,-1.1913453,-0.32412395,1.7069732,3.0234406
0.07986426,-1.5934309,-2.2755806,-1.191329,-0.32409438,1.7069602,3.023432
0.0878427,-1.5934266,-2.2755687,-1.1912868,-0.3240957,1.7069237,3.0234244
0.09590435,-1.5934371,-2.2755597,-1.1913453,-0.32411954,1.7069633,3.0234158
0.103872776,-1.5934328,-2.275564,-1.1913126,-0.3240957,1.7068826,3.0233908
0.111879826,-1.5934519,-2.2755969,-1.1913037,-0.32406172,1.7069194,3.0234158
0.11986351,-1.5934266,-2.2755268,-1.1913573,-0.32409438,1.7068707,3.023407
0.12780595,-1.5934471,-2.275564,-1.1913817,-0.3240913,1.7069689,3.02342
0.13580656,-1.593398,-2.2755115,-1.1913409,-0.32408687,1.7069062,3.0233662
0.14387178,-1.5934643,-2.275026,-1.1908782,-0.3226287,1.7069764,3.0235534
0.15178871,-1.5933899,-2.2738006,-1.1891575,-0.31844196,1.7070723,3.0236123
0.15981483,-1.5933269,-2.2724707,-1.1867632,-0.31198606,1.7070841,3.0236723
0.16779661,-1.5933579,-2.2705843,-1.1837356,-0.30256948,1.7070435,3.0236754
0.17582703,-1.593418,-2.268976,-1.1800945,-0.2932808,1.7068837,3.0234752
0.18378305,-1.5936431,-2.266538,-1.1768976,-0.28191563,1.7067705,3.0235102
0.19179726,-1.593644,-2.2636511,-1.1734706,-0.27245137,1.706804,3.0233984
0.19979572,-1.5936412,-2.260812,-1.1699015,-0.26368412,1.7068892,3.0234408
0.20784736,-1.593666,-2.2581813,-1.1668838,-0.25550458,1.7068988,3.0234277
0.2158072,-1.5935348,-2.2556226,-1.1637031,-0.24716873,1.7070229,3.0234377
0.223804,-1.5934771,-2.2530916,-1.1602652,-0.23839994,1.707002,3.0234363
0.23195434,-1.5933899,-2.2506902,-1.1568848,-0.22892638,1.7069957,3.0234277
0.23985362,-1.5934252,-2.2481062,-1.1534343,-0.21918602,1.7069751,3.0234
0.2478087,-1.5935239,-2.2454607,-1.1500243,-0.20998426,1.7070013,3.0233676
0.2558217,-1.5935711,-2.2425444,-1.1466603,-0.20105751,1.7069645,3.0234244
0.2637887,-1.5935606,-2.2395804,-1.1433057,-0.19189782,1.7069602,3.0233912
