x,y,z,px,py,pz,pw,u
-0.37866,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,0.00000
-0.37112,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,15.07568
-0.36359,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,22.60518
-0.35606,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,30.12279
-0.34855,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,37.62376
-0.34106,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,45.10334
-0.33359,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,52.55681
-0.32615,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,59.97947
-0.31875,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,67.36663
-0.31138,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,74.71361
-0.30405,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,82.01579
-0.29677,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,89.26854
-0.28955,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,96.46729
-0.28238,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,103.60749
-0.27527,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,110.68464
-0.26822,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,117.69425
-0.26125,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,124.63190
-0.25435,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,131.49322
-0.24753,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,138.27386
-0.24079,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,144.96954
-0.23413,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,151.57605
-0.22757,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,158.08919
-0.22111,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,164.50486
-0.21474,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,170.81901
-0.20848,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,177.02764
-0.20232,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,183.12685
-0.19628,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,189.11276
-0.19035,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,194.98161
-0.18454,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,200.72969
-0.17886,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,206.35336
-0.17330,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,211.84908
-0.16787,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,217.21336
-0.16257,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,222.44284
-0.15741,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,227.53419
-0.15238,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,232.48421
-0.14751,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,237.28977
-0.14277,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,241.94783
-0.13819,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,246.45545
-0.13376,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,250.80979
-0.12948,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,255.00809
-0.12536,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,259.04770
-0.12140,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,262.92608
-0.11760,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,266.64076
-0.11397,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,270.18941
-0.11051,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,273.56979
-0.10721,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,276.77975
-0.10409,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,279.81727
-0.10114,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,282.68044
-0.09836,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,285.36744
-0.09576,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,287.87657
-0.09334,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,290.20626
-0.09110,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,292.35503
-0.08905,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,294.32152
-0.08717,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,296.10449
-0.08548,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,297.70282
-0.08397,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,299.11549
-0.08265,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,300.34162
-0.08152,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,301.38042
-0.08058,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,302.23125
-0.07982,-0.10800,0.65034,0.02472,-0.05520,-0.15402,-0.98622,302.89356
