x,y,z,px,py,pz,pw,u
0.18843,0.20530,0.37228,0.99974,0.00956,0.02072,0.00189,0.00400
0.18843,0.20530,0.37229,0.99974,0.00956,0.02072,0.00189,0.01200
0.18843,0.20530,0.37230,0.99974,0.00956,0.02072,0.00189,0.02400
0.18843,0.20530,0.37232,0.99974,0.00956,0.02072,0.00189,0.04000
0.18843,0.20530,0.37234,0.99974,0.00956,0.02072,0.00189,0.06000
0.18843,0.20530,0.37236,0.99974,0.00956,0.02072,0.00189,0.08400
0.18843,0.20530,0.37239,0.99974,0.00956,0.02072,0.00189,0.11200
0.18843,0.20530,0.37242,0.99974,0.00956,0.02072,0.00189,0.14400
0.18843,0.20530,0.37246,0.99974,0.00956,0.02072,0.00189,0.18000
0.18843,0.20530,0.37250,0.99974,0.00956,0.02072,0.00189,0.22000
0.18843,0.20530,0.37254,0.99974,0.00956,0.02072,0.00189,0.26400
0.18843,0.20530,0.37259,0.99974,0.00956,0.02072,0.00189,0.31200
0.18843,0.20530,0.37264,0.99974,0.00956,0.02072,0.00189,0.36400
0.18843,0.20530,0.37270,0.99974,0.00956,0.02072,0.00189,0.42000
0.18843,0.20530,0.37276,0.99974,0.00956,0.02072,0.00189,0.48000
0.18843,0.20530,0.37282,0.99974,0.00956,0.02072,0.00189,0.54400
0.18843,0.20530,0.37289,0.99974,0.00956,0.02072,0.00189,0.61200
0.18843,0.20530,0.37296,0.99974,0.00956,0.02072,0.00189,0.68400
0.18843,0.20530,0.37304,0.99974,0.00956,0.02072,0.00189,0.76000
0.18843,0.20530,0.37312,0.99974,0.00956,0.02072,0.00189,0.84000
0.18843,0.20530,0.37320,0.99974,0.00956,0.02072,0.00189,0.92400
0.18843,0.20530,0.37329,0.99974,0.00956,0.02072,0.00189,1.01200
0.18843,0.20530,0.37338,0.99974,0.00956,0.02072,0.00189,1.10400
0.18843,0.20530,0.37348,0.99974,0.00956,0.02072,0.00189,1.20000
0.18843,0.20530,0.37358,0.99974,0.00956,0.02072,0.00189,1.30000
0.18843,0.20530,0.37368,0.99974,0.00956,0.02072,0.00189,1.40400
0.18843,0.20530,0.37379,0.99974,0.00956,0.02072,0.00189,1.51200
0.18843,0.20530,0.37390,0.99974,0.00956,0.02072,0.00189,1.62400
0.18843,0.20530,0.37402,0.99974,0.00956,0.02072,0.00189,1.74000
0.18843,0.20530,0.37414,0.99974,0.00956,0.02072,0.00189,1.86000
0.18843,0.20530,0.37426,0.99974,0.00956,0.02072,0.00189,1.98400
0.18843,0.20530,0.37439,0.99974,0.00956,0.02072,0.00189,2.11200
0.18843,0.20530,0.37452,0.99974,0.00956,0.02072,0.00189,2.24400
0.18843,0.20530,0.37466,0.99974,0.00956,0.02072,0.00189,2.38000
0.18843,0.20530,0.37480,0.99974,0.00956,0.02072,0.00189,2.52000
0.18843,0.20530,0.37494,0.99974,0.00956,0.02072,0.00189,2.66400
0.18843,0.20530,0.37509,0.99974,0.00956,0.02072,0.00189,2.81200
0.18843,0.20530,0.37524,0.99974,0.00956,0.02072,0.00189,2.96400
0.18843,0.20530,0.37540,0.99974,0.00956,0.02072,0.00189,3.12000
0.18843,0.20530,0.37556,0.99974,0.00956,0.02072,0.00189,3.28000
0.18843,0.20530,0.37572,0.99974,0.00956,0.02072,0.00189,3.44400
0.18843,0.20530,0.37589,0.99974,0.00956,0.02072,0.00189,3.61200
0.18843,0.20530,0.37606,0.99974,0.00956,0.02072,0.00189,3.78400
0.18843,0.20530,0.37624,0.99974,0.00956,0.02072,0.00189,3.96000
0.18843,0.20530,0.37642,0.99974,0.00956,0.02072,0.00189,4.14000
0.18843,0.20530,0.37660,0.99974,0.00956,0.02072,0.00189,4.32400
0.18843,0.20530,0.37679,0.99974,0.00956,0.02072,0.00189,4.51200
0.18843,0.20530,0.37698,0.99974,0.00956,0.02072,0.00189,4.70400
0.18843,0.20530,0.37718,0.99974,0.00956,0.02072,0.00189,4.90000
0.18843,0.20530,0.37738,0.99974,0.00956,0.02072,0.00189,5.10000
0.18843,0.20530,0.37758,0.99974,0.00956,0.02072,0.00189,5.30000
0.18843,0.20530,0.37778,0.99974,0.00956,0.02072,0.00189,5.50000
0.18843,0.20530,0.37798,0.99974,0.00956,0.02072,0.00189,5.70000
