t,shoulder_pan,shoulder_lift,elbow,wrist_1,wrist_2,wrist_3
0.0,-1.5934856070708228,-2.275560278750207,-1.1913617474113294,-0.18448130193580065,1.7069320084504542,3.023433863229777
0.002,-1.5934856070708228,-2.275560278750207,-1.1898460667451238,-0.18071419027711014,1.7069320084504542,3.0234338632297773
0.004,-1.5934856070708228,-2.275560278750207,-1.188330386078918,-0.1769470786184196,1.7069320084504542,3.023433863229777
0.006,-1.5934856070708225,-2.275560278750207,-1.1868147054127125,-0.17317996695972906,1.7069320084504542,3.0234338632297764
0.008,-1.5934856070708228,-2.275560278750207,-1.1852990247465072,-0.16941285530103858,1.7069320084504542,3.023433863229777
0.01,-1.5934856070708228,-2.275560278750207,-1.1837833440803016,-0.16564574364234808,1.7069320084504542,3.0234338632297773
0.012,-1.5934856070708228,-2.275560278750207,-1.1822676634140958,-0.16187863198365754,1.7069320084504542,3.023433863229777
0.014,-1.5934856070708225,-2.275560278750207,-1.18075198274789,-0.158111520324967,1.706932008450454,3.0234338632297764
0.016,-1.5934856070708228,-2.275560278750207,-1.1792363020816845,-0.15434440866627652,1.7069320084504542,3.023433863229777
0.018000000000000002,-1.5934856070708228,-2.275560278750207,-1.177720621415479,-0.15057729700758601,1.7069320084504545,3.0234338632297773
0.02,-1.5934856070708228,-2.275560278750207,-1.1762049407492732,-0.14681018534889545,1.7069320084504542,3.023433863229777
0.022,-1.5934856070708225,-2.2755602787502065,-1.1746892600830678,-0.14304307369020494,1.706932008450454,3.0234338632297764
0.024,-1.5934856070708228,-2.275560278750207,-1.1731735794168623,-0.13927596203151443,1.7069320084504542,3.023433863229777
0.026000000000000002,-1.5934856070708228,-2.275560278750207,-1.1716578987506567,-0.13550885037282395,1.7069320084504545,3.0234338632297773
0.028,-1.5934856070708228,-2.275560278750207,-1.170142218084451,-0.1317417387141334,1.7069320084504542,3.023433863229777
0.03,-1.5934856070708225,-2.2755602787502065,-1.1686265374182452,-0.12797462705544288,1.7069320084504542,3.0234338632297764
0.032,-1.5934856070708228,-2.275560278750207,-1.1671108567520396,-0.12420751539675237,1.7069320084504542,3.023433863229777
0.034,-1.5934856070708228,-2.275560278750207,-1.165595176085834,-0.12044040373806185,1.7069320084504542,3.0234338632297773
0.036000000000000004,-1.5934856070708228,-2.275560278750207,-1.1640794954196285,-0.11667329207937133,1.7069320084504542,3.023433863229777
0.038,-1.5934856070708225,-2.2755602787502065,-1.162563814753423,-0.11290618042068082,1.7069320084504542,3.0234338632297764
0.04,-1.5934856070708228,-2.2755602787502074,-1.1610481340872174,-0.1091390687619903,1.7069320084504542,3.023433863229777
0.042,-1.5934856070708228,-2.2755602787502074,-1.1595324534210119,-0.10537195710329979,1.7069320084504542,3.0234338632297773
0.044,-1.5934856070708228,-2.275560278750207,-1.158016772754806,-0.10160484544460927,1.7069320084504542,3.023433863229777
0.046,-1.5934856070708225,-2.275560278750207,-1.1565010920886005,-0.09783773378591873,1.7069320084504542,3.0234338632297764
0.048,-1.5934856070708228,-2.275560278750207,-1.154985411422395,-0.09407062212722823,1.7069320084504542,3.023433863229777
0.05,-1.5934856070708228,-2.2755602787502074,-1.1534697307561892,-0.09030351046853773,1.7069320084504542,3.0234338632297773
0.052000000000000005,-1.5934856070708228,-2.275560278750207,-1.1519540500899839,-0.0865363988098472,1.7069320084504542,3.023433863229777
0.054,-1.5934856070708228,-2.275560278750207,-1.150438369423778,-0.08276928715115667,1.7069320084504542,3.0234338632297764
0.056,-1.5934856070708228,-2.275560278750207,-1.1489226887575725,-0.07900217549246615,1.7069320084504542,3.023433863229777
0.058,-1.5934856070708228,-2.2755602787502074,-1.147407008091367,-0.07523506383377566,1.7069320084504542,3.0234338632297773
0.06,-1.5934856070708228,-2.275560278750207,-1.1458913274251612,-0.07146795217508511,1.7069320084504542,3.023433863229777
0.062,-1.5934856070708228,-2.275560278750207,-1.1443756467589556,-0.06770084051639459,1.706932008450454,3.0234338632297764
0.064,-1.5934856070708228,-2.275560278750207,-1.14285996609275,-0.06393372885770408,1.7069320084504542,3.023433863229777
0.066,-1.5934856070708228,-2.275560278750207,-1.1413442854265448,-0.06016661719901359,1.7069320084504545,3.0234338632297773
0.068,-1.5934856070708228,-2.275560278750207,-1.139828604760339,-0.05639950554032305,1.7069320084504542,3.023433863229777
0.07,-1.5934856070708228,-2.275560278750207,-1.1383129240941332,-0.05263239388163253,1.706932008450454,3.0234338632297764
0.07200000000000001,-1.5934856070708228,-2.275560278750207,-1.1367972434279277,-0.04886528222294202,1.7069320084504542,3.023433863229777
0.074,-1.593485607070823,-2.275560278750207,-1.135281562761722,-0.0450981705642515,1.7069320084504545,3.0234338632297773
0.076,-1.5934856070708228,-2.275560278750207,-1.1337658820955165,-0.04133105890556099,1.7069320084504542,3.023433863229777
0.078,-1.5934856070708228,-2.275560278750207,-1.1322502014293108,-0.03756394724687048,1.7069320084504542,3.0234338632297764
0.08,-1.5934856070708228,-2.275560278750207,-1.1307345207631054,-0.033796835588179946,1.7069320084504542,3.023433863229777
0.082,-1.593485607070823,-2.275560278750207,-1.1292188400968999,-0.030029723929489438,1.7069320084504542,3.023433863229777
0.084,-1.5934856070708228,-2.275560278750207,-1.127703159430694,-0.02626261227079893,1.7069320084504542,3.023433863229777
0.08600000000000001,-1.5934856070708228,-2.275560278750207,-1.1261874787644885,-0.022495500612108393,1.7069320084504542,3.0234338632297764
0.088,-1.5934856070708228,-2.275560278750207,-1.1246717980982828,-0.018728388953417885,1.7069320084504542,3.023433863229777
0.09,-1.593485607070823,-2.275560278750207,-1.1231561174320772,-0.014961277294727376,1.7069320084504542,3.023433863229777
0.092,-1.5934856070708228,-2.275560278750207,-1.1216404367658717,-0.011194165636036868,1.7069320084504542,3.023433863229777
0.094,-1.5934856070708228,-2.275560278750207,-1.120124756099666,-0.007427053977346304,1.7069320084504542,3.0234338632297764
0.096,-1.5934856070708228,-2.275560278750207,-1.1186090754334606,-0.0036599423186557956,1.7069320084504542,3.023433863229777
0.098,-1.593485607070823,-2.275560278750207,-1.117093394767255,0.00010716934003468515,1.7069320084504542,3.023433863229777
0.1,-1.5934856070708228,-2.275560278750207,-1.1155777141010492,0.0038742809987252214,1.7069320084504542,3.023433863229777
0.10200000000000001,-1.5934856070708228,-2.275560278750207,-1.1140620334348437,0.007641392657415758,1.706932008450454,3.0234338632297764
0.10400000000000001,-1.5934856070708228,-2.275560278750207,-1.1125463527686381,0.011408504316106266,1.7069320084504542,3.023433863229777
0.106,-1.593485607070823,-2.275560278750207,-1.1110306721024326,0.015175615974796774,1.7069320084504545,3.023433863229777
0.108,-1.5934856070708228,-2.275560278750207,-1.1095149914362268,0.018942727633487283,1.7069320084504542,3.023433863229777
0.11,-1.5934856070708228,-2.275560278750207,-1.1079993107700212,0.02270983929217782,1.706932008450454,3.0234338632297764
0.112,-1.5934856070708228,-2.275560278750207,-1.1064836301038157,0.026476950950868328,1.7069320084504542,3.023433863229777
0.114,-1.5934856070708228,-2.275560278750207,-1.1049679494376101,0.030244062609558836,1.7069320084504545,3.023433863229777
0.116,-1.5934856070708228,-2.275560278750207,-1.1034522687714046,0.034011174268249345,1.7069320084504542,3.023433863229777
0.11800000000000001,-1.5934856070708228,-2.275560278750207,-1.1019365881051988,0.03777828592693991,1.7069320084504542,3.0234338632297764
